sr,hr,skr,class_label,val
5.26,1.0,2.42,bottle,0.18939393939393936
1.0,174.11,5.74,ant,0.15
5.74,158.37,8.11,bottle,0.21212121212121213
1.47,142.63,10.0,bench,0.04545454545454546
5.26,284.26,5.74,bench,0.06363636363636364
7.16,174.11,1.47,acoustic_guitar,0.0
1.47,111.16,5.26,bench,0.04545454545454546
10.0,126.89,9.53,desk_lamp,0.11538461538461539
4.32,268.53,5.26,helmet,0.13333333333333333
6.68,237.05,3.84,ant,0.2
9.53,237.05,5.74,ant,0.25
8.11,189.84,5.74,bottle,0.2196969696969697
9.05,32.47,8.58,bench,0.04545454545454546
2.42,300.0,8.11,desk_lamp,0.12637362637362637
10.0,63.95,3.84,tv,0.015151515151515152
4.79,1.0,1.0,desk_lamp,0.11538461538461538
6.21,300.0,9.05,tv,0.015151515151515152
2.42,284.26,3.37,bench,0.05454545454545456
6.68,252.79,4.32,bottle,0.23484848484848486
6.68,268.53,7.16,acoustic_guitar,0.0
9.53,1.0,1.95,desk_lamp,0.11538461538461538
5.74,221.32,1.95,bottle,0.25
6.21,221.32,7.63,helmet,0.1222222222222222
2.42,189.84,9.05,bench,0.04545454545454546
7.16,158.37,5.26,helmet,0.11111111111111109
1.0,252.79,1.95,bottle,0.22727272727272727
9.05,95.42,3.84,bench,0.05454545454545456
10.0,95.42,4.32,bench,0.04545454545454546
1.47,95.42,9.05,desk_lamp,0.08791208791208792
3.84,32.47,7.63,tv,0.015151515151515152
1.47,1.0,7.63,bottle,0.17424242424242423
1.0,142.63,4.32,desk_lamp,0.10989010989010987
8.58,111.16,2.89,tv,0.015151515151515152
6.21,158.37,8.58,tv,0.015151515151515152
5.74,32.47,4.79,tv,0.015151515151515152
7.16,205.58,5.26,desk_lamp,0.13736263736263735
8.11,300.0,6.21,acoustic_guitar,0.0
7.16,48.21,4.32,bottle,0.19696969696969693
1.0,32.47,2.89,bench,0.04545454545454546
8.11,174.11,2.42,bottle,0.26515151515151514
6.21,111.16,8.58,bench,0.04545454545454546
7.63,174.11,8.58,bench,0.05454545454545456
7.16,1.0,5.74,bottle,0.1818181818181818
9.05,126.89,10.0,bench,0.05454545454545456
1.95,95.42,5.74,desk_lamp,0.0989010989010989
3.37,158.37,10.0,acoustic_guitar,0.0
4.32,48.21,3.84,tv,0.015151515151515152
1.47,111.16,2.42,bottle,0.24242424242424243
1.0,95.42,1.95,desk_lamp,0.13736263736263735
3.37,158.37,6.21,tv,0.015151515151515152
2.42,252.79,9.53,bottle,0.2045454545454545
1.47,158.37,10.0,bench,0.04545454545454546
5.74,205.58,5.74,bottle,0.2272727272727273
10.0,16.74,1.95,desk_lamp,0.12087912087912088
6.21,189.84,2.89,ant,0.2
10.0,48.21,5.74,acoustic_guitar,0.0
9.53,284.26,4.32,tv,0.022727272727272724
2.42,126.89,7.63,bench,0.04545454545454546
7.16,284.26,1.95,desk_lamp,0.12637362637362634
4.32,300.0,1.95,helmet,0.15555555555555556
1.95,32.47,1.47,bottle,0.21212121212121213
4.32,221.32,8.58,bottle,0.2045454545454545
7.63,1.0,3.37,desk_lamp,0.1098901098901099
9.53,252.79,2.42,bottle,0.25757575757575757
3.37,205.58,10.0,bench,0.04545454545454546
1.95,174.11,3.84,helmet,0.13333333333333333
4.32,300.0,1.95,bottle,0.2196969696969697
9.53,142.63,3.84,bottle,0.22727272727272727
4.32,79.68,4.32,helmet,0.09999999999999999
9.05,284.26,7.63,acoustic_guitar,0.0
1.47,237.05,9.53,bottle,0.2045454545454545
7.16,1.0,7.16,bench,0.04545454545454546
3.37,174.11,5.26,bench,0.06363636363636364
9.05,205.58,3.84,desk_lamp,0.13736263736263735
6.21,174.11,2.42,desk_lamp,0.14835164835164835
4.79,158.37,2.42,tv,0.015151515151515152
6.21,189.84,1.95,bench,0.06363636363636364
4.32,32.47,8.58,tv,0.015151515151515152
1.0,95.42,1.95,acoustic_guitar,0.0
7.63,32.47,4.79,bottle,0.19696969696969693
5.74,111.16,7.16,bottle,0.2045454545454545
1.0,16.74,7.63,bottle,0.17424242424242423
1.0,48.21,4.32,desk_lamp,0.08791208791208792
7.16,79.68,3.37,acoustic_guitar,0.0
7.63,174.11,5.74,helmet,0.11111111111111109
8.58,79.68,1.47,acoustic_guitar,0.0
7.63,63.95,3.84,helmet,0.1222222222222222
4.79,16.74,7.63,ant,0.1
4.79,268.53,9.53,desk_lamp,0.12087912087912087
5.26,142.63,8.11,ant,0.15
6.21,79.68,9.53,bottle,0.19696969696969693
7.63,1.0,3.37,acoustic_guitar,0.0
2.42,63.95,3.84,tv,0.015151515151515152
3.37,142.63,10.0,acoustic_guitar,0.0
1.0,300.0,5.26,bottle,0.24242424242424243
8.58,237.05,8.11,tv,0.015151515151515152
1.47,142.63,4.79,ant,0.15
10.0,268.53,9.53,helmet,0.11111111111111109
2.42,95.42,4.79,bottle,0.2045454545454545
1.47,142.63,1.47,bench,0.06363636363636364
5.26,142.63,5.26,helmet,0.11111111111111109
5.74,189.84,1.0,tv,0.04545454545454545
3.37,142.63,9.53,tv,0.015151515151515152
1.47,237.05,8.11,tv,0.015151515151515152
9.05,142.63,8.11,acoustic_guitar,0.0
9.53,79.68,3.84,desk_lamp,0.12087912087912088
7.63,284.26,9.05,tv,0.015151515151515152
8.11,205.58,3.84,bench,0.06363636363636364
4.79,126.89,7.63,desk_lamp,0.11538461538461539
1.47,126.89,1.47,desk_lamp,0.13736263736263737
8.11,1.0,1.47,tv,0.022727272727272724
8.58,1.0,3.84,desk_lamp,0.1098901098901099
6.68,174.11,8.11,helmet,0.09999999999999999
3.37,95.42,1.95,ant,0.25
9.53,1.0,5.74,helmet,0.08888888888888888
7.16,252.79,2.42,ant,0.15
10.0,158.37,3.84,tv,0.015151515151515152
8.58,221.32,1.47,acoustic_guitar,0.0
6.68,237.05,3.37,acoustic_guitar,0.0
1.95,284.26,2.42,bottle,0.21212121212121213
7.16,300.0,7.16,bottle,0.2272727272727273
2.89,268.53,4.79,desk_lamp,0.13186813186813184
1.47,95.42,6.68,helmet,0.09999999999999999
1.0,252.79,1.95,helmet,0.14444444444444443
3.37,252.79,6.68,tv,0.015151515151515152
6.21,79.68,2.42,ant,0.15
6.21,174.11,7.16,bench,0.05454545454545456
8.11,174.11,2.42,bench,0.08181818181818183
8.11,1.0,5.74,bench,0.04545454545454546
4.32,16.74,10.0,desk_lamp,0.09340659340659342
6.21,221.32,3.84,ant,0.25
2.89,252.79,10.0,bench,0.06363636363636364
1.47,189.84,1.0,desk_lamp,0.13186813186813187
9.53,63.95,7.63,desk_lamp,0.1098901098901099
10.0,126.89,9.53,acoustic_guitar,0.0
7.16,16.74,1.47,ant,0.1
2.89,268.53,4.79,acoustic_guitar,0.0
