w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,class_label,val
1,0,0,1,0,0,0,1,0,0,1,1,0,0,ant,0.0
1,0,0,1,0,0,0,1,0,0,1,1,0,0,helmet,0.18888888888888888
1,0,0,1,0,0,0,1,0,0,1,1,0,0,desk_lamp,0.13186813186813187
0,0,1,1,0,1,0,1,0,0,1,0,0,1,ant,0.1
0,0,1,1,0,1,0,1,0,0,1,0,0,1,helmet,0.01111111111111111
0,0,1,1,0,1,0,1,0,0,1,0,0,1,desk_lamp,0.06593406593406594
0,1,1,0,1,1,1,1,0,0,0,0,0,1,ant,0.1
0,1,1,0,1,1,1,1,0,0,0,0,0,1,helmet,0.06666666666666667
0,1,1,0,1,1,1,1,0,0,0,0,0,1,desk_lamp,0.01098901098901099
1,1,1,0,1,0,1,0,1,0,1,0,0,1,ant,0.15
1,1,1,0,1,0,1,0,1,0,1,0,0,1,helmet,0.03333333333333333
1,1,1,0,1,0,1,0,1,0,1,0,0,1,desk_lamp,0.13736263736263735
1,0,1,1,1,1,1,1,0,1,1,1,0,0,ant,0.1
1,0,1,1,1,1,1,1,0,1,1,1,0,0,helmet,0.2333333333333333
1,0,1,1,1,1,1,1,0,1,1,1,0,0,desk_lamp,0.13736263736263737
1,0,0,1,0,1,0,1,0,0,0,1,1,0,ant,0.0
1,0,0,1,0,1,0,1,0,0,0,1,1,0,helmet,0.07777777777777777
1,0,0,1,0,1,0,1,0,0,0,1,1,0,desk_lamp,0.1043956043956044
1,0,1,1,1,1,0,0,0,0,0,1,1,0,ant,0.0
1,0,1,1,1,1,0,0,0,0,0,1,1,0,helmet,0.07777777777777777
1,0,1,1,1,1,0,0,0,0,0,1,1,0,desk_lamp,0.11538461538461539
1,0,1,0,0,0,1,0,1,0,1,0,0,1,ant,0.15
1,0,1,0,0,0,1,0,1,0,1,0,0,1,helmet,0.03333333333333333
1,0,1,0,0,0,1,0,1,0,1,0,0,1,desk_lamp,0.13736263736263735
0,0,0,0,0,0,1,1,1,1,1,1,0,1,ant,0.15
0,0,0,0,0,0,1,1,1,1,1,1,0,1,helmet,0.12222222222222223
0,0,0,0,0,0,1,1,1,1,1,1,0,1,desk_lamp,0.15384615384615383
1,1,0,1,0,0,0,1,0,1,0,1,0,1,ant,0.2
1,1,0,1,0,0,0,1,0,1,0,1,0,1,helmet,0.2333333333333333
1,1,0,1,0,0,0,1,0,1,0,1,0,1,desk_lamp,0.14285714285714285
