w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,class_label,val
w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,class_label,val
1,1,0,1,1,1,0,0,1,1,1,0,0,0,tv,0.015151515151515152
1,1,0,0,1,1,1,0,1,1,1,1,1,1,bottle,0.1818181818181818
0,0,1,1,1,1,0,1,0,1,1,1,1,0,tv,0.022727272727272724
1,0,0,0,0,0,0,1,0,0,0,0,0,1,bottle,0.11363636363636363
0,0,1,0,0,0,0,1,1,0,0,1,0,0,ant,0.05
0,1,1,0,1,1,1,0,1,0,1,0,0,0,bottle,0.1212121212121212
1,0,1,0,0,0,1,1,0,1,0,1,0,0,acoustic_guitar,0.0
1,1,1,1,1,0,0,1,0,0,1,1,1,0,bottle,0.15151515151515152
1,1,1,1,0,0,0,1,1,1,0,0,0,0,ant,0.1
1,1,0,1,1,0,0,0,0,0,0,1,0,0,desk_lamp,0.08791208791208792
1,1,0,0,0,0,0,1,1,1,0,1,0,1,bottle,0.15151515151515152
0,0,0,0,0,0,1,1,1,0,0,0,0,0,bottle,0.03787878787878788
0,1,1,0,1,0,1,1,1,1,1,1,0,0,bench,0.02727272727272728
1,1,0,0,0,0,1,0,1,0,0,0,1,1,tv,0.03787878787878788
0,1,1,0,1,1,1,0,0,0,1,1,0,0,ant,0.15
0,1,0,0,0,0,1,0,1,1,1,1,0,0,bottle,0.16666666666666666
1,1,0,0,0,1,0,0,1,0,1,0,0,0,desk_lamp,0.04395604395604396
0,1,0,1,0,0,0,1,1,1,1,1,0,0,bench,0.02727272727272728
1,1,0,1,1,0,0,0,1,1,0,0,0,1,desk_lamp,0.04945054945054945
1,1,0,0,0,1,1,0,0,1,0,1,0,1,bottle,0.14393939393939395
1,1,0,1,0,1,0,0,0,0,0,0,1,0,bench,0.009090909090909092
0,1,1,0,1,0,0,0,0,0,1,0,0,0,acoustic_guitar,0.0
0,0,0,1,1,1,0,1,0,0,1,1,1,0,bottle,0.15151515151515152
0,0,0,0,1,0,0,1,1,1,0,0,1,1,helmet,0.08888888888888888
0,0,0,1,0,0,1,1,0,0,0,1,1,0,desk_lamp,0.05494505494505496
1,0,0,0,0,1,1,0,0,1,0,1,1,1,helmet,0.12222222222222223
1,1,0,1,0,1,1,0,0,1,0,1,0,0,bottle,0.11363636363636363
0,0,0,1,0,0,0,0,1,0,0,1,0,0,desk_lamp,0.08791208791208792
1,1,1,1,0,1,0,1,0,0,0,0,0,0,bottle,0.12121212121212122
0,1,1,1,1,0,1,1,1,1,0,0,0,0,desk_lamp,0.03296703296703297
0,0,1,0,1,1,1,1,1,0,1,0,0,1,tv,0.007575757575757576
0,0,0,1,0,0,1,0,0,1,1,1,1,0,helmet,0.05555555555555556
1,0,0,0,0,1,1,0,0,1,1,0,0,1,bench,0.009090909090909092
1,0,1,1,0,0,1,1,1,1,0,0,1,0,desk_lamp,0.03846153846153847
1,1,1,1,1,0,0,0,1,1,0,1,1,0,ant,0.0
1,0,0,0,1,0,1,0,1,1,0,0,0,1,ant,0.15
1,0,1,1,1,0,0,0,0,1,1,1,0,0,bench,0.02727272727272728
1,0,0,1,1,0,1,0,0,0,1,0,1,0,helmet,0.04444444444444444
1,1,0,1,1,1,0,0,1,1,1,1,1,1,bottle,0.1818181818181818
0,0,0,1,0,1,0,1,1,0,1,1,1,0,bench,0.0
0,1,0,0,0,1,1,1,0,1,0,1,0,1,helmet,0.08888888888888888
0,1,1,1,0,1,0,1,1,0,1,1,1,1,desk_lamp,0.09340659340659342
0,0,0,0,1,1,0,0,0,0,0,0,1,0,bench,0.0
1,1,0,1,1,0,0,0,1,1,1,0,0,1,helmet,0.08888888888888888
0,0,0,0,1,0,1,1,0,0,0,0,1,0,tv,0.015151515151515152
1,1,0,0,0,0,0,0,1,0,1,0,0,0,helmet,0.02222222222222222
0,1,0,1,0,0,0,0,0,0,0,1,1,1,ant,0.1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,helmet,0.1
1,1,1,1,0,1,0,1,1,1,0,0,0,1,acoustic_guitar,0.0
1,0,0,1,0,1,0,0,1,1,0,0,1,1,helmet,0.08888888888888888
0,0,1,1,0,0,1,1,1,0,1,0,1,1,desk_lamp,0.04395604395604396
1,0,1,1,0,0,1,1,1,0,0,1,1,1,bottle,0.18939393939393936
0,1,1,0,1,0,1,0,0,1,0,0,1,1,acoustic_guitar,0.0
0,1,1,1,1,0,0,0,1,1,0,0,0,1,ant,0.35
0,1,1,1,0,1,0,0,0,0,0,0,0,1,acoustic_guitar,0.25
1,1,0,1,1,1,0,0,1,1,1,0,0,0,bottle,0.18181818181818185
0,0,0,0,0,1,0,0,1,1,0,1,1,0,bottle,0.1590909090909091
1,1,0,0,0,1,0,0,1,0,0,0,0,1,desk_lamp,0.05494505494505496
0,0,0,1,1,1,1,1,0,1,0,1,1,1,acoustic_guitar,0.0
0,1,0,0,0,1,1,1,0,1,0,1,1,0,desk_lamp,0.05494505494505494
0,0,0,1,0,1,1,0,1,1,1,1,0,0,tv,0.0
