sr,hr,skr,class_label,val
2.42,174.11,2.89,ant,0.2
8.11,126.89,5.26,bench,0.03636363636363637
6.68,237.05,8.58,ant,0.2
9.53,252.79,2.89,tv,0.04545454545454545
8.58,268.53,7.63,bottle,0.22727272727272727
1.95,174.11,9.05,desk_lamp,0.08791208791208793
10.0,205.58,1.47,tv,0.03787878787878788
2.89,48.21,6.21,tv,0.015151515151515152
4.32,237.05,9.53,bench,0.03636363636363637
4.32,142.63,2.42,bench,0.06363636363636364
3.84,284.26,3.37,ant,0.2
1.0,268.53,10.0,tv,0.022727272727272724
2.42,32.47,5.26,desk_lamp,0.07692307692307691
4.79,237.05,1.0,bottle,0.19696969696969693
6.21,221.32,4.32,desk_lamp,0.12087912087912087
1.0,268.53,1.95,desk_lamp,0.1208791208791209
3.37,252.79,1.95,desk_lamp,0.12087912087912088
8.58,268.53,7.63,desk_lamp,0.13186813186813187
1.47,205.58,6.21,desk_lamp,0.09340659340659341
8.58,142.63,3.84,bench,0.04545454545454546
2.42,221.32,9.53,tv,0.015151515151515152
6.21,111.16,5.26,desk_lamp,0.1263736263736264
4.32,16.74,2.89,desk_lamp,0.12087912087912088
7.63,174.11,6.68,helmet,0.1
3.37,174.11,6.21,acoustic_guitar,0.0
4.32,284.26,9.05,desk_lamp,0.09890109890109888
6.68,237.05,7.63,ant,0.2
10.0,48.21,9.53,tv,0.015151515151515152
5.74,205.58,1.0,desk_lamp,0.12637362637362637
7.63,126.89,7.63,bench,0.045454545454545456
4.32,142.63,2.42,ant,0.15
10.0,284.26,7.63,acoustic_guitar,0.0
5.26,221.32,9.05,tv,0.015151515151515152
6.68,32.47,10.0,acoustic_guitar,0.0
1.95,205.58,5.26,acoustic_guitar,0.0
5.74,174.11,3.84,bottle,0.23484848484848483
8.11,126.89,1.95,desk_lamp,0.13736263736263735
8.11,32.47,10.0,bench,0.04545454545454546
3.84,32.47,6.21,ant,0.15
8.11,48.21,4.32,acoustic_guitar,0.0
8.58,32.47,2.89,acoustic_guitar,0.0
3.37,1.0,7.63,tv,0.015151515151515152
8.11,268.53,6.21,helmet,0.1222222222222222
1.0,126.89,10.0,helmet,0.1
3.37,174.11,8.58,helmet,0.1
9.05,284.26,7.16,acoustic_guitar,0.0
6.21,300.0,6.68,helmet,0.1
6.21,189.84,1.0,bench,0.07272727272727274
1.0,48.21,1.95,tv,0.015151515151515152
9.53,32.47,9.53,ant,0.05
8.58,252.79,8.58,acoustic_guitar,0.0
4.79,95.42,2.42,ant,0.15
8.58,111.16,5.74,desk_lamp,0.1153846153846154
2.89,79.68,8.58,helmet,0.1
1.95,205.58,7.63,helmet,0.1
7.63,32.47,2.89,helmet,0.11111111111111109
6.21,111.16,9.53,tv,0.015151515151515152
7.63,48.21,3.84,bench,0.03636363636363637
3.84,158.37,4.79,acoustic_guitar,0.0
3.84,174.11,1.0,helmet,0.16666666666666669
1.47,205.58,6.68,ant,0.15
4.79,189.84,3.37,bottle,0.24242424242424243
3.84,205.58,7.63,tv,0.015151515151515152
5.74,252.79,6.21,acoustic_guitar,0.0
4.32,205.58,1.47,tv,0.03787878787878788
8.11,221.32,6.21,bench,0.05454545454545456
5.26,126.89,2.89,bottle,0.23484848484848483
5.74,174.11,4.32,acoustic_guitar,0.0
9.53,111.16,5.74,bench,0.03636363636363637
1.95,268.53,2.42,tv,0.03787878787878788
9.05,205.58,3.37,acoustic_guitar,0.0
3.84,158.37,8.11,acoustic_guitar,0.0
3.37,48.21,3.37,helmet,0.1
8.58,268.53,8.58,helmet,0.1
1.47,95.42,2.42,desk_lamp,0.10439560439560439
6.68,32.47,9.05,bench,0.04545454545454546
1.95,142.63,10.0,desk_lamp,0.08241758241758243
5.74,268.53,3.37,acoustic_guitar,0.0
3.37,252.79,1.95,helmet,0.14444444444444443
2.89,79.68,1.0,tv,0.04545454545454545
5.26,79.68,8.58,bottle,0.16666666666666666
4.79,126.89,6.21,bench,0.03636363636363637
1.0,95.42,2.89,bench,0.04545454545454546
8.58,63.95,3.84,bottle,0.2045454545454545
7.63,48.21,7.16,acoustic_guitar,0.0
8.58,16.74,3.37,acoustic_guitar,0.0
5.74,32.47,5.74,desk_lamp,0.10439560439560439
1.0,268.53,10.0,desk_lamp,0.08241758241758242
8.58,284.26,9.05,tv,0.015151515151515152
2.89,221.32,2.42,helmet,0.13333333333333333
6.68,221.32,9.05,bench,0.03636363636363637
1.47,189.84,4.79,tv,0.030303030303030304
10.0,221.32,10.0,helmet,0.1
5.74,158.37,8.11,bottle,0.18939393939393936
5.26,268.53,3.84,tv,0.03787878787878788
9.05,174.11,8.58,helmet,0.1
3.84,32.47,1.95,desk_lamp,0.12637362637362634
5.26,284.26,1.95,bench,0.06363636363636364
1.0,268.53,1.95,helmet,0.13333333333333333
2.42,111.16,4.32,desk_lamp,0.1098901098901099
2.89,268.53,2.89,ant,0.2
8.11,158.37,1.0,acoustic_guitar,0.0
8.11,142.63,2.42,bench,0.07272727272727274
3.84,252.79,6.68,desk_lamp,0.10439560439560439
6.68,32.47,6.21,ant,0.1
10.0,95.42,10.0,bottle,0.16666666666666666
4.79,126.89,1.95,helmet,0.13333333333333333
1.47,1.0,2.42,desk_lamp,0.08241758241758243
2.42,126.89,2.42,desk_lamp,0.12087912087912087
4.32,158.37,8.11,helmet,0.1
9.05,252.79,10.0,ant,0.2
9.05,32.47,2.89,tv,0.03787878787878788
6.68,221.32,2.89,tv,0.03787878787878788
2.42,174.11,1.47,acoustic_guitar,0.0
9.05,79.68,4.32,tv,0.015151515151515152
1.95,111.16,8.11,desk_lamp,0.08241758241758243
5.74,79.68,8.58,tv,0.015151515151515152
2.89,221.32,5.74,helmet,0.1
5.26,252.79,1.47,tv,0.03787878787878788
4.79,158.37,3.37,desk_lamp,0.13186813186813187
10.0,158.37,3.84,helmet,0.11111111111111109
