sr,hr,skr,class_label,val
4.79,174.11,10.0,tv,0.03787878787878788
4.79,32.47,8.11,tv,0.04545454545454546
9.53,158.37,9.05,bottle,0.04545454545454545
6.21,48.21,2.42,bottle,0.05303030303030303
3.84,300.0,4.79,acoustic_guitar,0.0
1.47,158.37,4.32,helmet,0.05555555555555556
1.0,252.79,9.05,desk_lamp,0.01098901098901099
4.32,237.05,1.47,desk_lamp,0.01098901098901099
6.68,174.11,5.26,ant,0.05
5.74,158.37,5.26,bottle,0.05303030303030303
1.47,48.21,8.11,bench,0.03636363636363637
1.47,142.63,5.26,bottle,0.05303030303030303
2.42,63.95,3.37,ant,0.05
7.63,284.26,8.11,desk_lamp,0.01098901098901099
9.05,268.53,6.68,helmet,0.05555555555555556
3.37,16.74,1.0,helmet,0.04444444444444444
1.95,158.37,4.32,bottle,0.05303030303030303
2.89,48.21,9.05,ant,0.1
5.74,63.95,4.79,acoustic_guitar,0.0
2.89,205.58,7.16,bottle,0.05303030303030303
6.68,79.68,10.0,tv,0.04545454545454546
4.32,300.0,3.84,desk_lamp,0.01098901098901099
2.89,189.84,4.32,tv,0.022727272727272724
8.11,300.0,8.11,helmet,0.05555555555555556
7.16,142.63,3.37,ant,0.05
1.0,1.0,3.84,bench,0.04545454545454546
3.84,189.84,6.68,desk_lamp,0.01098901098901099
2.89,126.89,5.26,bottle,0.05303030303030303
1.47,63.95,9.05,acoustic_guitar,0.0
4.32,126.89,7.16,bench,0.018181818181818184
1.47,79.68,3.84,bench,0.018181818181818184
1.95,16.74,6.68,bottle,0.14393939393939395
1.95,95.42,4.32,tv,0.030303030303030304
8.58,205.58,5.26,desk_lamp,0.01098901098901099
8.11,205.58,4.79,ant,0.05
6.68,142.63,2.42,bench,0.018181818181818184
4.79,158.37,3.37,desk_lamp,0.01098901098901099
3.37,16.74,4.79,bottle,0.10606060606060606
1.47,126.89,6.68,tv,0.03787878787878788
9.53,268.53,8.11,acoustic_guitar,0.0
9.53,126.89,7.63,tv,0.03787878787878788
8.11,16.74,3.84,acoustic_guitar,0.0
6.21,95.42,5.26,bench,0.018181818181818184
1.47,142.63,6.68,ant,0.05
3.37,48.21,5.26,helmet,0.05555555555555556
3.37,16.74,9.53,helmet,0.1
9.53,158.37,1.95,bottle,0.05303030303030303
5.74,63.95,9.05,bottle,0.08333333333333333
4.32,16.74,9.05,desk_lamp,0.0989010989010989
5.74,174.11,1.95,tv,0.022727272727272724
6.21,221.32,8.58,tv,0.022727272727272724
1.95,32.47,7.63,ant,0.1
10.0,158.37,8.58,bottle,0.04545454545454545
8.58,142.63,1.47,desk_lamp,0.01098901098901099
5.26,158.37,4.79,bottle,0.05303030303030303
3.84,32.47,6.68,bench,0.03636363636363637
5.74,32.47,9.53,bottle,0.10606060606060606
7.63,16.74,5.26,bottle,0.10606060606060606
9.05,252.79,3.37,tv,0.022727272727272724
1.0,205.58,4.79,acoustic_guitar,0.0
1.47,32.47,9.53,tv,0.05303030303030304
1.47,205.58,10.0,ant,0.05
2.89,79.68,7.63,helmet,0.04444444444444444
7.63,126.89,6.68,bench,0.018181818181818184
3.84,1.0,1.95,ant,0.15
7.16,1.0,3.37,acoustic_guitar,0.0
8.58,174.11,6.21,bottle,0.05303030303030303
9.53,1.0,9.53,acoustic_guitar,0.0
1.95,95.42,4.32,desk_lamp,0.016483516483516484
6.21,126.89,1.0,tv,0.022727272727272724
3.84,95.42,6.68,tv,0.03787878787878788
8.58,48.21,9.53,ant,0.1
5.74,284.26,6.21,desk_lamp,0.01098901098901099
3.37,189.84,1.95,helmet,0.05555555555555556
1.47,189.84,4.32,bottle,0.05303030303030303
8.11,174.11,6.68,desk_lamp,0.016483516483516484
8.58,1.0,2.42,bench,0.04545454545454546
10.0,126.89,10.0,tv,0.04545454545454546
7.16,95.42,3.84,helmet,0.05555555555555556
9.53,48.21,5.74,tv,0.04545454545454546
8.58,158.37,1.95,helmet,0.05555555555555556
7.16,174.11,6.21,bench,0.018181818181818184
7.16,16.74,1.0,helmet,0.04444444444444444
9.53,79.68,8.11,desk_lamp,0.03846153846153847
